Erbb3	activation	Plcg2
Erbb3	activation	Shc1
Erbb2	activation	Plcg2
Erbb2	activation	Shc1
Egfr	activation	Plcg2
Egfr	activation	Shc1
Gab1	activation	Pik3cd
Shc1	activation	Grb2
Met	activation	Plcg2
Met	activation	Shc1
Igf1r	inhibition	Plcg2
Igf1r	activation	Shc1
Igf1r	effect	Shc1
Pdgfra	inhibition	Plcg2
Pdgfra	inhibition	Shc1
Pdgfrb	inhibition	Plcg2
Pdgfrb	effect	Plcg2
Pdgfrb	activation	Shc1
Kdr	activation	Plcg2
Kdr	activation	Shc1
Fgfr2	activation	Plcg2
Fgfr2	activation	Shc1
Fgfr3	activation	Plcg2
Fgfr3	activation	Shc1
Gas6	activation	Axl
Axl	activation	Jak1
Axl	activation	Jak2
Axl	activation	Src
Axl	activation	Gab1
Axl	activation	Plcg1
Axl	activation	Plcg2
Axl	activation	Shc1
Axl	activation	Shc3
Axl	activation	Shc2
Axl	activation	Shc4
Il6	activation	Il6ra
Il6ra	activation	Jak1
Il6ra	activation	Jak2
Il6ra	activation	Src
Il6ra	activation	Gab1
Il6ra	activation	Plcg1
Il6ra	activation	Plcg2
Il6ra	activation	Shc1
Il6ra	activation	Shc3
Il6ra	activation	Shc2
Il6ra	activation	Shc4
Egfr	activation	Pik3cd
Pik3cd	activation	Akt1
Pik3cd	activation	Akt2
Pik3cd	activation	Akt3
Mapk14	activation	Esr1
Mapk14	activation	Esr2
Mapk14	activation	Ncoa3
Mapk14	activation	Med1
Mapk14	activation	Carm1
Mapk14	activation	Fos
Mapk14	activation	Jun
Mapk14	activation	Sp1
Igf1r	activation	Pik3cd
Igf1r	effect	Pik3cd
Erbb2	effect	Shc1
Erbb2	activation	Pik3cd
Erbb2	effect	Pik3cd
Ptk2	activation	Pik3cd
Ptk2	effect	Pik3cd
Chuk	activation	Nfkb1
Ikbkb	activation	Nfkb1
Ikbkg	activation	Nfkb1
Nfkb1	activation	Tnf
Nfkb1	activation	Il1b
Nfkb1	activation	Il6
Rela	activation	Tnf
Rela	activation	Il1b
Apaf1	activation	Casp9
Cycs	activation	Apaf1
Cycs	effect	Apaf1
Cyct	activation	Apaf1
Cyct	effect	Apaf1
Casp8	activation	Casp3
Casp8	effect	Casp3
Casp8	inhibition	Bid
Casp8	effect	Bid
Casp8	inhibition	Atm
Casp8	effect	Atm
Casp8	inhibition	Trp53
Casp8	effect	Trp53
Fadd	inhibition	Casp8
Fadd	effect	Casp8
Erbb2	inhibition	Pik3cd
Pik3cd	inhibition	Pdpk1
Ppara	activation	Lpl
Ppara	activation	Acsl5
Ppara	activation	Acox3
Rxra	activation	Lpl
Rxra	activation	Acsl5
Rxra	activation	Acox3
Rxra	activation	Plin2
Rxrb	activation	Lpl
Rxrb	activation	Acsl5
Rxrb	activation	Acox3
Rxrb	activation	Plin2
Rxrg	activation	Lpl
Rxrg	activation	Acsl5
Rxrg	activation	Acox3
Rxrg	activation	Plin2
Ppard	activation	Lpl
Ppard	activation	Acox3
Pparg	activation	Lpl
Pparg	activation	Acsl5
Pparg	activation	Plin2
Dusp2	activation	Mapk14
Dusp8	activation	Mapk14
Dusp7	activation	Mapk14
Dusp5	activation	Mapk14
Dusp4	activation	Mapk14
Chuk	effect	Nfkb1
Chuk	effect	Nfkb2
Ikbkb	effect	Nfkb1
Ikbkb	effect	Nfkb2
Ikbkg	effect	Nfkb1
Ikbkg	effect	Nfkb2
Map3k14	effect	Nfkb1
Map3k14	effect	Nfkb2
Mapk1	activation	Pla2g4a
Mapk1	activation	Mknk1
Mapk1	activation	Rps6ka1
Mapk3	activation	Pla2g4a
Mapk3	effect	Mknk1
Mapk3	effect	Rps6ka1
Rap1b	activation	Braf
Prkaca	activation	Rap1b
Prkacb	activation	Rap1b
Rasgrp3	effect	Hras
Rasgrp3	effect	Kras
Rasgrp3	effect	Mras
Rasgrp3	effect	Nras
Rasgrp3	effect	Rras
Rasgrp3	effect	Rras2
Grb2	effect	Csf1r
Cacna1a	effect	Rasgrp3
Cacna1b	effect	Rasgrp3
Cacna1c	effect	Rasgrp3
Cacna1d	effect	Rasgrp3
Cacna1e	inhibition	Rasgrp3
Cacna1e	effect	Rasgrp3
Cacna1g	effect	Rasgrp3
Cacna1s	inhibition	Rasgrp3
Cacna1s	effect	Rasgrp3
Cacna2d1	effect	Rasgrp3
Cacna2d3	inhibition	Rasgrp3
Cacnb1	inhibition	Rasgrp3
Cacnb2	inhibition	Rasgrp3
Cacnb3	inhibition	Rasgrp3
Cacnb3	effect	Rasgrp3
Cacnb4	inhibition	Rasgrp3
Cacnb4	effect	Rasgrp3
Cacng1	inhibition	Rasgrp3
Cacng1	effect	Rasgrp3
Cacng2	inhibition	Rasgrp3
Cacng2	effect	Rasgrp3
Cacng5	inhibition	Rasgrp3
Cacng5	effect	Rasgrp3
Cacna1i	inhibition	Rasgrp3
Cacna1i	effect	Rasgrp3
Cacna2d4	inhibition	Rasgrp3
Cacna2d4	effect	Rasgrp3
Cacng3	inhibition	Rasgrp3
Cacng3	effect	Rasgrp3
Cacng4	inhibition	Rasgrp3
Cacng4	effect	Rasgrp3
Cacng6	inhibition	Rasgrp3
Cacng6	effect	Rasgrp3
Cacna1f	inhibition	Rasgrp3
Cacna1f	effect	Rasgrp3
Cacna2d2	inhibition	Rasgrp3
Cacna2d2	effect	Rasgrp3
Cacna1h	inhibition	Rasgrp3
Cacna1h	effect	Rasgrp3
Cacng7	inhibition	Rasgrp3
Cacng7	effect	Rasgrp3
Cacng8	inhibition	Rasgrp3
Cacng8	effect	Rasgrp3
Rps6ka4	inhibition	Atf4
Rps6ka4	effect	Atf4
Mapkapk2	inhibition	Hspb1
Mapkapk2	effect	Hspb1
Mapkapk2	inhibition	Atf4
Mapkapk2	effect	Atf4
Mapk11	inhibition	Mef2c
Mapk11	effect	Mef2c
Mapk11	inhibition	Mapkapk2
Mapk11	effect	Mapkapk2
Mapk11	inhibition	Rps6ka4
Mapk11	effect	Rps6ka4
Mapk13	inhibition	Mef2c
Mapk13	effect	Mef2c
Mapk13	inhibition	Mapkapk2
Mapk13	inhibition	Rps6ka4
Mapk14	inhibition	Atf2
Mapk14	inhibition	Elk1
Mapk14	inhibition	Trp53
Mapk14	inhibition	Elk4
Mapk14	inhibition	Ddit3
Mapk14	inhibition	Max
Mapk14	inhibition	Mef2c
Mapk14	inhibition	Mapkapk5
Mapk14	inhibition	Mapkapk3
Ppp3ca	activation	Nfatc1
Ppp3cc	activation	Nfatc1
Ppp3r1	activation	Nfatc1
Ppp3r2	activation	Nfatc1
Rps6ka1	activation	Atf4
Mknk1	activation	Atf4
Angpt1	activation	Csf1r
Angpt2	activation	Csf1r
Angpt4	activation	Csf1r
Areg	activation	Csf1r
Artn	activation	Csf1r
Bdnf	activation	Csf1r
Csf1	activation	Csf1r
Efna1	activation	Csf1r
Efna2	activation	Csf1r
Efna3	activation	Csf1r
Efna4	activation	Csf1r
Efna5	activation	Csf1r
Egf	activation	Csf1r
Ereg	activation	Csf1r
Fgf1	activation	Csf1r
Fgf10	activation	Csf1r
Fgf15	activation	Csf1r
Fgf17	activation	Csf1r
Fgf18	activation	Csf1r
Fgf2	activation	Csf1r
Fgf3	activation	Csf1r
Fgf4	activation	Csf1r
Fgf5	activation	Csf1r
Fgf6	activation	Csf1r
Fgf7	activation	Csf1r
Fgf8	activation	Csf1r
Fgf9	activation	Csf1r
Vegfd	activation	Csf1r
Flt3l	activation	Csf1r
Gdnf	activation	Csf1r
Hgf	activation	Csf1r
Igf1	activation	Csf1r
Igf2	activation	Csf1r
Ins1	activation	Csf1r
Ins2	activation	Csf1r
Kitl	activation	Csf1r
Klk1b4	activation	Csf1r
Ngf	activation	Csf1r
Nrtn	activation	Csf1r
Ntf3	activation	Csf1r
Pdgfa	activation	Csf1r
Pdgfb	activation	Csf1r
Pgf	activation	Csf1r
Pspn	activation	Csf1r
Tgfa	activation	Csf1r
Vegfa	activation	Csf1r
Vegfb	activation	Csf1r
Vegfc	activation	Csf1r
Pdgfc	activation	Csf1r
Fgf21	activation	Csf1r
Fgf23	activation	Csf1r
Fgf22	activation	Csf1r
Pdgfd	activation	Csf1r
Ntf5	activation	Csf1r
Fgf20	activation	Csf1r
Fgf16	activation	Csf1r
Tradd	effect	Casp3
Myd88	effect	Irak4
Irak4	activation	Traf6
Egfr	activation	Stat5b
Plcg2	activation	Camk2d
Plcg2	activation	Camk2a
Plcg2	activation	Camk2b
Plcg2	activation	Camk2g
Plcg2	effect	Camk2g
Plcg2	activation	Prkca
Plcg2	effect	Prkca
Plcg2	activation	Prkcb
Plcg2	effect	Prkcb
Plcg2	activation	Prkcg
Plcg2	effect	Prkcg
Pik3cd	effect	Akt1
Csf1r	activation	Shc1
Epha2	activation	Shc1
Fgfr1	activation	Shc1
Fgfr4	activation	Shc1
Flt1	activation	Shc1
Flt3	activation	Shc1
Flt4	activation	Shc1
Insr	activation	Shc1
Kit	activation	Shc1
Ngfr	activation	Shc1
Ntrk1	activation	Shc1
Ntrk2	activation	Shc1
Pdgfra	activation	Shc1
Tek	activation	Shc1
Csf1r	activation	Shc3
Csf1r	activation	Shc2
Csf1r	activation	Shc4
Lat	activation	Plcg2
Rasgrp3	activation	Hras
Rasgrp3	activation	Kras
Rasgrp3	activation	Mras
Rasgrp3	activation	Nras
Rasgrp3	activation	Rras
Rasgrp3	activation	Rras2
Rasal3	activation	Hras
Rasa4	activation	Hras
Rasal3	activation	Kras
Rasa4	activation	Kras
Rasal3	activation	Mras
Rasa4	activation	Mras
Rasal3	activation	Nras
Rasa4	activation	Nras
Rasal3	activation	Rras
Rasa4	activation	Rras
Rasal3	activation	Rras2
Rasa4	activation	Rras2
Hras	activation	Pik3cd
Kras	activation	Pik3cd
Mras	activation	Pik3cd
Nras	activation	Pik3cd
Rras	activation	Pik3cd
Rras2	activation	Pik3cd
Tiam1	activation	Rac2
Rac2	activation	Pak1
Rac2	activation	Pak3
Rac2	activation	Pak6
Rac2	activation	Pak2
Rac2	activation	Pak5
Rac2	activation	Pak4
Rac2	activation	Rhoa
Rac2	activation	4930544G11Rik
Pik3cd	activation	Rac3
Pik3cd	activation	Rac1
Pik3ca	activation	Rac2
Pik3cd	activation	Rac2
Pik3r1	activation	Rac2
Pik3r2	activation	Rac2
Pik3r3	activation	Rac2
Pik3cb	activation	Rac2
Rapgef5	activation	Rap1b
Tbk1	activation	Rel
Ralbp1	activation	Rac2
Rap1a	activation	Apbb1ip
Rap1a	activation	Arap3
Rap1a	activation	Pik3cd
Rap1a	activation	Vav1
Rap1b	activation	Apbb1ip
Rap1b	activation	Arap3
Rap1b	activation	Afdn
Rap1b	activation	Krit1
Rap1b	activation	Rgs14
Rap1b	activation	Rassf5
Rap1b	activation	Prkd2
Rap1b	activation	Prkd1
Rap1b	activation	Prkd3
Rap1b	activation	Map2k3
Rap1b	activation	Map2k6
Rap1b	activation	Pik3ca
